n_samples,step,time_mean,time_std
100,kernel_computation,0.0024139881134033203,0.0009594210293836444
100,diffusion_entropy_and_elbow,0.02691332499186198,0.001790169562936758
100,trajectory_generation,1.4384587605794271e-05,3.6227770869069037e-06
100,operator_computation,0.0037291844685872397,0.00489169327828047
100,embedding_computation,0.0030350685119628906,0.00029935045344258804
100,clustering,0.05268406867980957,0.01231705200596834
100,total_pipeline,0.08879001935323079,0.009656555134079552
200,kernel_computation,0.006353457768758138,0.0028170886777761643
200,diffusion_entropy_and_elbow,0.3224632740020752,0.058804319437160066
200,trajectory_generation,1.6689300537109375e-05,4.400529289216083e-06
200,operator_computation,0.0014827251434326172,0.0006659744936682407
200,embedding_computation,0.002481540044148763,0.0009821222175284304
200,clustering,0.054619948069254555,0.03290110345440931
200,total_pipeline,0.38741763432820636,0.09017823057011129
500,kernel_computation,0.009156306584676107,0.00030438937332692684
500,diffusion_entropy_and_elbow,2.2659217516581216,0.251942847350166
500,trajectory_generation,3.711382548014323e-05,2.5838336606383184e-05
500,operator_computation,0.011012554168701172,0.0019462560588621907
500,embedding_computation,0.004280408223470052,0.0013843506250669588
500,clustering,0.028355836868286133,0.02148429154328117
500,total_pipeline,2.3187639713287354,0.27376199616543956
1000,kernel_computation,0.03420297304789225,0.00571720115661696
1000,diffusion_entropy_and_elbow,10.536767880121866,2.6727583340803887
1000,trajectory_generation,1.6609827677408855e-05,2.4183788386508526e-06
1000,operator_computation,0.05253736178080241,0.0036053702115413917
1000,embedding_computation,0.014441490173339844,0.004581480812938733
1000,clustering,0.033448378245035805,0.035368180750862434
1000,total_pipeline,10.671414693196615,2.6547718806556024
1500,kernel_computation,0.06812008221944173,0.001084599394026975
1500,diffusion_entropy_and_elbow,27.39120666186015,2.8891735010915673
1500,trajectory_generation,1.6927719116210938e-05,2.867638040013109e-06
1500,operator_computation,0.14983614285786948,0.00800382981118353
1500,embedding_computation,0.04193361600240072,0.015140483221412912
1500,clustering,0.09375119209289551,0.036863478553191165
1500,total_pipeline,27.744864622751873,2.896742364987585
2000,kernel_computation,0.12645800908406576,0.012944237167084852
2000,diffusion_entropy_and_elbow,60.84979240099589,3.739185400887785
2000,trajectory_generation,2.1139780680338543e-05,8.486123718236424e-06
2000,operator_computation,0.44811193148295086,0.07479879609214678
2000,embedding_computation,0.14018996556599936,0.0851695742434159
2000,clustering,0.07120402654012044,0.04788839969812073
2000,total_pipeline,61.63577747344971,3.8835320773311075
3000,kernel_computation,0.25434549649556476,0.012146256343881294
3000,diffusion_entropy_and_elbow,262.47097063064575,11.780805527040775
3000,trajectory_generation,1.915295918782552e-05,3.5058252016882547e-06
3000,operator_computation,0.9983375072479248,0.06344389151911223
3000,embedding_computation,0.1825106143951416,0.04324478935019273
3000,clustering,0.11470858256022136,0.11261767235661659
3000,total_pipeline,264.0208919843038,11.834766081307107
4000,kernel_computation,0.4076414903004964,0.014279368396886332
4000,diffusion_entropy_and_elbow,872.4643080234528,68.72177121025777
4000,trajectory_generation,2.2570292154947918e-05,7.3158209946092336e-06
4000,operator_computation,2.5108986695607505,0.07766348942378995
4000,embedding_computation,0.5485243002573649,0.15509552254551498
4000,clustering,0.15005342165629068,0.10076285444996566
4000,total_pipeline,876.0814484755198,68.97224464354292
