method,repeat,metric,value
Random Convex MDT_t1,53,ari,0.5000053561016329
Random Convex MDT_t1,54,ami,0.6525250097906543
Random Convex MDT_t1,54,ari,0.4810204527111639
Random Convex MDT_t1,55,ami,0.6531253923985308
Random Convex MDT_t1,55,ari,0.4841426156918194
Random Convex MDT_t1,56,ami,0.6672802286048208
Random Convex MDT_t1,56,ari,0.4984237534690588
Random Convex MDT_t1,57,ami,0.671054148441048
Random Convex MDT_t1,57,ari,0.5053966459184974
Random Convex MDT_t1,58,ami,0.6080783019241723
Random Convex MDT_t1,58,ari,0.4006949822283651
Random Convex MDT_t1,59,ami,0.6194501934373571
Random Convex MDT_t1,59,ari,0.4390947224573721
Random Convex MDT_t1,60,ami,0.6044237890248129
Random Convex MDT_t1,60,ari,0.39054282832687437
Random Convex MDT_t1,61,ami,0.656558522246195
Random Convex MDT_t1,61,ari,0.48726770753555265
Random Convex MDT_t1,62,ami,0.670942933194069
Random Convex MDT_t1,62,ari,0.5051642383370797
Random Convex MDT_t1,63,ami,0.572409427614915
Random Convex MDT_t1,63,ari,0.32110229925171874
Random Convex MDT_t1,64,ami,0.6141468371483394
Random Convex MDT_t1,64,ari,0.4080346520883547
Random Convex MDT_t1,65,ami,0.6627703237713326
Random Convex MDT_t1,65,ari,0.47388126227086413
Random Convex MDT_t1,66,ami,0.6278641926655103
Random Convex MDT_t1,66,ari,0.4334208641711628
Random Convex MDT_t1,67,ami,0.6593909210617974
Random Convex MDT_t1,67,ari,0.4905002274915838
Random Convex MDT_t1,68,ami,0.612783159078127
Random Convex MDT_t1,68,ari,0.431196247941606
Random Convex MDT_t1,69,ami,0.6388628014653857
Random Convex MDT_t1,69,ari,0.43696034988599736
Random Convex MDT_t1,70,ami,0.6447785541348422
Random Convex MDT_t1,70,ari,0.42171844228519667
Random Convex MDT_t1,71,ami,0.5700423345875123
Random Convex MDT_t1,71,ari,0.36566493614587614
Random Convex MDT_t1,72,ami,0.6586573448698936
Random Convex MDT_t1,72,ari,0.48948401271198017
Random Convex MDT_t1,73,ami,0.632193809451943
Random Convex MDT_t1,73,ari,0.4509045515184654
Random Convex MDT_t1,74,ami,0.6370262119500477
Random Convex MDT_t1,74,ari,0.45366016954003374
Random Convex MDT_t1,75,ami,0.6165469950389537
Random Convex MDT_t1,75,ari,0.43546225883999734
Random Convex MDT_t1,76,ami,0.6659348853473941
Random Convex MDT_t1,76,ari,0.49639360140499533
Random Convex MDT_t1,77,ami,0.6510849544635169
Random Convex MDT_t1,77,ari,0.5090994946247369
Random Convex MDT_t1,78,ami,0.6615446726338227
Random Convex MDT_t1,78,ari,0.5097800536196553
Random Convex MDT_t1,79,ami,0.6566929139396094
Random Convex MDT_t1,79,ari,0.4876358166925667
Random Convex MDT_t1,80,ami,0.6595186269348445
Random Convex MDT_t1,80,ari,0.49777863687259655
Random Convex MDT_t1,81,ami,0.6066867490232822
Random Convex MDT_t1,81,ari,0.41280205054088676
Random Convex MDT_t1,82,ami,0.6568224088613185
Random Convex MDT_t1,82,ari,0.4936490007828991
Random Convex MDT_t1,83,ami,0.6424420750634906
Random Convex MDT_t1,83,ari,0.4720622245944992
Random Convex MDT_t1,84,ami,0.6341778771506822
Random Convex MDT_t1,84,ari,0.4501371480096718
Random Convex MDT_t1,85,ami,0.6231183617135188
Random Convex MDT_t1,85,ari,0.420992583796039
Random Convex MDT_t1,86,ami,0.5847125109045
Random Convex MDT_t1,86,ari,0.34305058131866933
Random Convex MDT_t1,87,ami,0.5909075503849073
Random Convex MDT_t1,87,ari,0.3178667708189081
Random Convex MDT_t1,88,ami,0.6565801618848551
Random Convex MDT_t1,88,ari,0.49637251507967955
Random Convex MDT_t1,89,ami,0.6611048011038557
Random Convex MDT_t1,89,ari,0.4913341611546665
Random Convex MDT_t1,90,ami,0.6301417735472044
Random Convex MDT_t1,90,ari,0.4115270345042946
Random Convex MDT_t1,91,ami,0.5852371726280459
Random Convex MDT_t1,91,ari,0.34421698400004297
Random Convex MDT_t1,92,ami,0.6598504711642964
Random Convex MDT_t1,92,ari,0.4910349240228183
Random Convex MDT_t1,93,ami,0.6280896015559565
Random Convex MDT_t1,93,ari,0.4456462404359595
Random Convex MDT_t1,94,ami,0.5912397290237504
Random Convex MDT_t1,94,ari,0.4121744285161295
Random Convex MDT_t1,95,ami,0.6200883765206927
Random Convex MDT_t1,95,ari,0.4227759197479861
Random Convex MDT_t1,96,ami,0.6601521780784717
Random Convex MDT_t1,96,ari,0.4987136577966691
Random Convex MDT_t1,97,ami,0.6510838595704554
Random Convex MDT_t1,97,ari,0.4906913992562712
Random Convex MDT_t1,98,ami,0.6513352597829568
Random Convex MDT_t1,98,ari,0.482157219934922
Random Convex MDT_t1,99,ami,0.6211643051594685
Random Convex MDT_t1,99,ari,0.4331663096139715
Random Convex MDT_t2,0,ami,0.660184509225567
Random Convex MDT_t2,0,ari,0.5004339599366777
Random Convex MDT_t2,1,ami,0.6481688574076067
Random Convex MDT_t2,1,ari,0.48993243041329027
Random Convex MDT_t2,2,ami,0.6708303579055688
Random Convex MDT_t2,2,ari,0.45032446861972636
Random Convex MDT_t2,3,ami,0.6586968224964339
Random Convex MDT_t2,3,ari,0.5007870621292569
Random Convex MDT_t2,4,ami,0.6993931538826862
Random Convex MDT_t2,4,ari,0.5578722994463713
Random Convex MDT_t2,5,ami,0.6770031362167818
Random Convex MDT_t2,5,ari,0.5234483762717116
Random Convex MDT_t2,6,ami,0.6712429585628265
Random Convex MDT_t2,6,ari,0.512756685186814
Random Convex MDT_t2,7,ami,0.6881236730362091
Random Convex MDT_t2,7,ari,0.5421328580204177
Random Convex MDT_t2,8,ami,0.6449363573886056
Random Convex MDT_t2,8,ari,0.4815053017808257
Random Convex MDT_t2,9,ami,0.6816768327516333
Random Convex MDT_t2,9,ari,0.5410533408620234
Random Convex MDT_t2,10,ami,0.6714087837407704
Random Convex MDT_t2,10,ari,0.45358772165679956
Random Convex MDT_t2,11,ami,0.6354451668090983
Random Convex MDT_t2,11,ari,0.45681662912238824
Random Convex MDT_t2,12,ami,0.6628498958260717
Random Convex MDT_t2,12,ari,0.5040595609314995
Random Convex MDT_t2,13,ami,0.6515164488462901
Random Convex MDT_t2,13,ari,0.460058508083724
Random Convex MDT_t2,14,ami,0.6539086731166756
Random Convex MDT_t2,14,ari,0.49178367656999505
Random Convex MDT_t2,15,ami,0.6514884904840755
Random Convex MDT_t2,15,ari,0.4622561893608268
Random Convex MDT_t2,16,ami,0.647405308353587
Random Convex MDT_t2,16,ari,0.45868375936639055
Random Convex MDT_t2,17,ami,0.6406386045357294
Random Convex MDT_t2,17,ari,0.45824727862583625
Random Convex MDT_t2,18,ami,0.6970929329074897
Random Convex MDT_t2,18,ari,0.5679436572713585
Random Convex MDT_t2,19,ami,0.6395206698211005
Random Convex MDT_t2,19,ari,0.493292732592533
Random Convex MDT_t2,20,ami,0.6618965768389468
Random Convex MDT_t2,20,ari,0.5031649191275499
Random Convex MDT_t2,21,ami,0.6602577355789169
Random Convex MDT_t2,21,ari,0.48688121268531886
Random Convex MDT_t2,22,ami,0.6827700613079793
Random Convex MDT_t2,22,ari,0.5307892996228775
Random Convex MDT_t2,23,ami,0.6656679403398477
Random Convex MDT_t2,23,ari,0.5052152660200034
Random Convex MDT_t2,24,ami,0.7063451578026717
Random Convex MDT_t2,24,ari,0.5675708950871026
