method,repeat,metric,value
Random Convex MDT_t1,36,chs,3.714633087334838
Random Convex MDT_t1,36,ami,0.6754928593464423
Random Convex MDT_t1,36,ari,0.5727135449706263
Random Convex MDT_t1,37,chs,3.73715658651307
Random Convex MDT_t1,37,ami,0.7378360935746726
Random Convex MDT_t1,37,ari,0.6670368653813668
Random Convex MDT_t1,38,chs,3.8427186611482496
Random Convex MDT_t1,38,ami,0.7247936235024353
Random Convex MDT_t1,38,ari,0.6337988958345553
Random Convex MDT_t1,39,chs,3.7945604296272606
Random Convex MDT_t1,39,ami,0.6629517923087622
Random Convex MDT_t1,39,ari,0.5199863335901058
Random Convex MDT_t1,40,chs,3.6865370731774156
Random Convex MDT_t1,40,ami,0.5776171389513477
Random Convex MDT_t1,40,ari,0.4165429711437637
Random Convex MDT_t1,41,chs,3.62778825024749
Random Convex MDT_t1,41,ami,0.6288225220794268
Random Convex MDT_t1,41,ari,0.5023037810664069
Random Convex MDT_t1,42,chs,3.7826517423276287
Random Convex MDT_t1,42,ami,0.679412178044168
Random Convex MDT_t1,42,ari,0.5840827345655146
Random Convex MDT_t1,43,chs,3.764836106444446
Random Convex MDT_t1,43,ami,0.7143727997262312
Random Convex MDT_t1,43,ari,0.6367050191533754
Random Convex MDT_t1,44,chs,3.8881683522200268
Random Convex MDT_t1,44,ami,0.7052934928288246
Random Convex MDT_t1,44,ari,0.6280192344035445
Random Convex MDT_t1,45,chs,3.65403599989963
Random Convex MDT_t1,45,ami,0.6262405796634273
Random Convex MDT_t1,45,ari,0.4933102473857956
Random Convex MDT_t1,46,chs,3.656777352728998
Random Convex MDT_t1,46,ami,0.7117482796127566
Random Convex MDT_t1,46,ari,0.6389493811391249
Random Convex MDT_t1,47,chs,3.714478382549877
Random Convex MDT_t1,47,ami,0.6953045939694313
Random Convex MDT_t1,47,ari,0.5409802319776451
Random Convex MDT_t1,48,chs,3.6758993570954126
Random Convex MDT_t1,48,ami,0.6065264299159889
Random Convex MDT_t1,48,ari,0.3988646253387357
Random Convex MDT_t1,49,chs,3.6783561693948554
Random Convex MDT_t1,49,ami,0.6343219826156663
Random Convex MDT_t1,49,ari,0.5099186166896323
Random Convex MDT_t1,50,chs,3.874914504897352
Random Convex MDT_t1,50,ami,0.7126593245022641
Random Convex MDT_t1,50,ari,0.6396384622843146
Random Convex MDT_t1,51,chs,3.705755126494803
Random Convex MDT_t1,51,ami,0.6734502892751633
Random Convex MDT_t1,51,ari,0.4989080709253014
Random Convex MDT_t1,52,chs,3.6946086133189575
Random Convex MDT_t1,52,ami,0.6532811186610006
Random Convex MDT_t1,52,ari,0.5425185957984886
Random Convex MDT_t1,53,chs,3.8325393823050837
Random Convex MDT_t1,53,ami,0.6378354653039592
Random Convex MDT_t1,53,ari,0.542887474694319
Random Convex MDT_t1,54,chs,3.705636789817427
Random Convex MDT_t1,54,ami,0.6453347199801641
Random Convex MDT_t1,54,ari,0.5305992219195428
Random Convex MDT_t1,55,chs,3.624180272283044
Random Convex MDT_t1,55,ami,0.6823590780389996
Random Convex MDT_t1,55,ari,0.5896231154495248
Random Convex MDT_t1,56,chs,3.251903347577067
Random Convex MDT_t1,56,ami,0.5325998362956282
Random Convex MDT_t1,56,ari,0.4011530647093895
Random Convex MDT_t1,57,chs,3.7517692658295614
Random Convex MDT_t1,57,ami,0.6664699989786431
Random Convex MDT_t1,57,ari,0.5112251453043745
