method,repeat,metric,value
Random Convex MDT_t1,36,chs,7.828689807251666
Random Convex MDT_t1,36,ami,0.7535567196632218
Random Convex MDT_t1,36,ari,0.521659990032369
Random Convex MDT_t1,37,chs,7.765557665696671
Random Convex MDT_t1,37,ami,0.7660109659020733
Random Convex MDT_t1,37,ari,0.5300421457166208
Random Convex MDT_t1,38,chs,7.7422448167643125
Random Convex MDT_t1,38,ami,0.7356599704901684
Random Convex MDT_t1,38,ari,0.5167645443884636
Random Convex MDT_t1,39,chs,7.830117600324965
Random Convex MDT_t1,39,ami,0.7615122019443399
Random Convex MDT_t1,39,ari,0.5337881542874743
Random Convex MDT_t1,40,chs,7.815811275674214
Random Convex MDT_t1,40,ami,0.7515954371748595
Random Convex MDT_t1,40,ari,0.5018803778044202
Random Convex MDT_t1,41,chs,7.70375652153146
Random Convex MDT_t1,41,ami,0.7286166913850393
Random Convex MDT_t1,41,ari,0.5001442274012141
Random Convex MDT_t1,42,chs,7.819840050174474
Random Convex MDT_t1,42,ami,0.7517000224296763
Random Convex MDT_t1,42,ari,0.5183706360375848
Random Convex MDT_t1,43,chs,7.779396950116865
Random Convex MDT_t1,43,ami,0.7383809524699704
Random Convex MDT_t1,43,ari,0.5234991859174477
Random Convex MDT_t1,44,chs,7.7514965158787446
Random Convex MDT_t1,44,ami,0.7386859864874631
Random Convex MDT_t1,44,ari,0.500988888298752
Random Convex MDT_t1,45,chs,7.830221582427167
Random Convex MDT_t1,45,ami,0.7527144347919487
Random Convex MDT_t1,45,ari,0.5382696283728134
Random Convex MDT_t1,46,chs,7.825060057680095
Random Convex MDT_t1,46,ami,0.7564177338597331
Random Convex MDT_t1,46,ari,0.5377547617643041
Random Convex MDT_t1,47,chs,7.850082187965579
Random Convex MDT_t1,47,ami,0.7513908909110973
Random Convex MDT_t1,47,ari,0.5232954391118095
Random Convex MDT_t1,48,chs,7.8602188576331
Random Convex MDT_t1,48,ami,0.7588112583464222
Random Convex MDT_t1,48,ari,0.5366055684821003
Random Convex MDT_t1,49,chs,7.69239227547646
Random Convex MDT_t1,49,ami,0.7302746054921991
Random Convex MDT_t1,49,ari,0.470178828794557
Random Convex MDT_t1,50,chs,7.859723925829974
Random Convex MDT_t1,50,ami,0.7465152854511012
Random Convex MDT_t1,50,ari,0.5218638403774977
Random Convex MDT_t1,51,chs,7.879525339678764
Random Convex MDT_t1,51,ami,0.7529736125815426
Random Convex MDT_t1,51,ari,0.5116665490032537
Random Convex MDT_t1,52,chs,7.882204226219723
Random Convex MDT_t1,52,ami,0.7543745360637041
Random Convex MDT_t1,52,ari,0.5147968128498845
Random Convex MDT_t1,53,chs,7.804512653997693
Random Convex MDT_t1,53,ami,0.7506760039518902
Random Convex MDT_t1,53,ari,0.5299108388852763
Random Convex MDT_t1,54,chs,7.849526997671757
Random Convex MDT_t1,54,ami,0.74629641592179
Random Convex MDT_t1,54,ari,0.4877811486331207
Random Convex MDT_t1,55,chs,7.806081703642197
Random Convex MDT_t1,55,ami,0.7469529290352946
Random Convex MDT_t1,55,ari,0.5198807346094654
Random Convex MDT_t1,56,chs,7.856141395659418
Random Convex MDT_t1,56,ami,0.7590998927501268
Random Convex MDT_t1,56,ari,0.5227992700443345
Random Convex MDT_t1,57,chs,7.839175432409881
Random Convex MDT_t1,57,ami,0.749844335528879
Random Convex MDT_t1,57,ari,0.5178293881281394
Random Convex MDT_t1,58,chs,7.800890805343831
Random Convex MDT_t1,58,ami,0.7348983982758247
Random Convex MDT_t1,58,ari,0.5033038811617883
Random Convex MDT_t1,59,chs,7.851691183846924
Random Convex MDT_t1,59,ami,0.7609903226750044
Random Convex MDT_t1,59,ari,0.5317172390011918
Random Convex MDT_t1,60,chs,7.689793766578195
Random Convex MDT_t1,60,ami,0.7417648168892451
Random Convex MDT_t1,60,ari,0.4930820408759835
Random Convex MDT_t1,61,chs,7.848826723396457
Random Convex MDT_t1,61,ami,0.7425506610742515
Random Convex MDT_t1,61,ari,0.48647179353602055
Random Convex MDT_t1,62,chs,7.833656888145204
Random Convex MDT_t1,62,ami,0.7585127195601508
Random Convex MDT_t1,62,ari,0.5364928755233279
Random Convex MDT_t1,63,chs,7.807453796348722
Random Convex MDT_t1,63,ami,0.7500136078076721
Random Convex MDT_t1,63,ari,0.5043055821419683
Random Convex MDT_t1,64,chs,7.778514853459974
Random Convex MDT_t1,64,ami,0.7521030870633938
Random Convex MDT_t1,64,ari,0.5382198568342913
Random Convex MDT_t1,65,chs,7.848454320394438
Random Convex MDT_t1,65,ami,0.7558104407072538
Random Convex MDT_t1,65,ari,0.5218293245869886
Random Convex MDT_t1,66,chs,7.836594862463876
Random Convex MDT_t1,66,ami,0.7361716033432645
Random Convex MDT_t1,66,ari,0.47462782883584015
Random Convex MDT_t1,67,chs,7.8336312972111175
Random Convex MDT_t1,67,ami,0.7432599185324276
Random Convex MDT_t1,67,ari,0.5153218523904015
Random Convex MDT_t1,68,chs,7.858833088651316
Random Convex MDT_t1,68,ami,0.753464626675524
Random Convex MDT_t1,68,ari,0.5181013742668487
Random Convex MDT_t1,69,chs,7.825595737920151
Random Convex MDT_t1,69,ami,0.7530551580463121
Random Convex MDT_t1,69,ari,0.536930180664588
Random Convex MDT_t1,70,chs,7.700440802493084
Random Convex MDT_t1,70,ami,0.7276834675611924
Random Convex MDT_t1,70,ari,0.4934411253153143
Random Convex MDT_t1,71,chs,7.842330165003801
Random Convex MDT_t1,71,ami,0.7620131877288869
Random Convex MDT_t1,71,ari,0.48251281684913555
Random Convex MDT_t1,72,chs,7.829826549709979
Random Convex MDT_t1,72,ami,0.7425577191853081
Random Convex MDT_t1,72,ari,0.5155520321707083
Random Convex MDT_t1,73,chs,7.716268800784047
Random Convex MDT_t1,73,ami,0.7307184152259988
Random Convex MDT_t1,73,ari,0.4496131008721121
Random Convex MDT_t1,74,chs,7.840369326909195
Random Convex MDT_t1,74,ami,0.7475747718917057
Random Convex MDT_t1,74,ari,0.5228201165960364
Random Convex MDT_t1,75,chs,7.780665190391563
Random Convex MDT_t1,75,ami,0.736901369192556
Random Convex MDT_t1,75,ari,0.5113455355106757
Random Convex MDT_t1,76,chs,7.80250873919002
Random Convex MDT_t1,76,ami,0.7351051313026477
Random Convex MDT_t1,76,ari,0.47340572028613087
Random Convex MDT_t1,77,chs,7.851183118146753
Random Convex MDT_t1,77,ami,0.7501240761923408
Random Convex MDT_t1,77,ari,0.5152453130316207
Random Convex MDT_t1,78,chs,7.853230397614303
Random Convex MDT_t1,78,ami,0.7512352549656514
Random Convex MDT_t1,78,ari,0.5115793359688248
Random Convex MDT_t1,79,chs,7.859654647956586
Random Convex MDT_t1,79,ami,0.7490108001394125
Random Convex MDT_t1,79,ari,0.5121283563944349
Random Convex MDT_t1,80,chs,7.708313858877659
Random Convex MDT_t1,80,ami,0.7557071459855974
Random Convex MDT_t1,80,ari,0.5272734174634418
Random Convex MDT_t1,81,chs,7.848356579483938
Random Convex MDT_t1,81,ami,0.7450540399589894
Random Convex MDT_t1,81,ari,0.5189740431045334
Random Convex MDT_t1,82,chs,7.810600049215448
Random Convex MDT_t1,82,ami,0.7473290402708896
Random Convex MDT_t1,82,ari,0.5327390548596298
Random Convex MDT_t1,83,chs,7.87487704745093
Random Convex MDT_t1,83,ami,0.7598443197309019
Random Convex MDT_t1,83,ari,0.5256954180042788
Random Convex MDT_t1,84,chs,7.828283990515363
Random Convex MDT_t1,84,ami,0.7480237645526941
Random Convex MDT_t1,84,ari,0.5098906180197363
Random Convex MDT_t1,85,chs,7.750644963398318
Random Convex MDT_t1,85,ami,0.7431845587192158
Random Convex MDT_t1,85,ari,0.5230117390726107
Random Convex MDT_t1,86,chs,7.836927852734718
Random Convex MDT_t1,86,ami,0.7467453466919975
Random Convex MDT_t1,86,ari,0.5260371342805925
Random Convex MDT_t1,87,chs,7.8412070886626095
Random Convex MDT_t1,87,ami,0.745749638378816
Random Convex MDT_t1,87,ari,0.511563530988621
Random Convex MDT_t1,88,chs,7.815273002086426
Random Convex MDT_t1,88,ami,0.7556599821045709
Random Convex MDT_t1,88,ari,0.5285715539098949
Random Convex MDT_t1,89,chs,7.730014356793544
Random Convex MDT_t1,89,ami,0.7507566698482165
Random Convex MDT_t1,89,ari,0.5528087442985062
Random Convex MDT_t1,90,chs,7.82429291522146
Random Convex MDT_t1,90,ami,0.7566514283015764
Random Convex MDT_t1,90,ari,0.5164108128461506
Random Convex MDT_t1,91,chs,7.730484659061111
Random Convex MDT_t1,91,ami,0.7217496212289062
Random Convex MDT_t1,91,ari,0.48493716325083197
Random Convex MDT_t1,92,chs,7.706387621246076
Random Convex MDT_t1,92,ami,0.7419301386822293
Random Convex MDT_t1,92,ari,0.5176084855960356
Random Convex MDT_t1,93,chs,7.702857136749134
Random Convex MDT_t1,93,ami,0.7272323307143017
Random Convex MDT_t1,93,ari,0.49267723716784806
Random Convex MDT_t1,94,chs,7.8038204120984505
Random Convex MDT_t1,94,ami,0.7497301174458205
Random Convex MDT_t1,94,ari,0.5083062607676347
Random Convex MDT_t1,95,chs,7.820729343766196
Random Convex MDT_t1,95,ami,0.7352982410522356
Random Convex MDT_t1,95,ari,0.5048499571568676
Random Convex MDT_t1,96,chs,7.742644902060239
Random Convex MDT_t1,96,ami,0.7489864321034695
Random Convex MDT_t1,96,ari,0.5476035130378225
Random Convex MDT_t1,97,chs,7.861519175745432
Random Convex MDT_t1,97,ami,0.7551146136218437
Random Convex MDT_t1,97,ari,0.5151349419251509
