method,repeat,metric,value
Random Convex MDT_t1,36,chs,5.155265266564849
Random Convex MDT_t1,36,ami,0.5833854839180516
Random Convex MDT_t1,36,ari,0.41228249465178707
Random Convex MDT_t1,37,chs,5.067322060478558
Random Convex MDT_t1,37,ami,0.5479260495628535
Random Convex MDT_t1,37,ari,0.39623578076525334
Random Convex MDT_t1,38,chs,5.191915793757588
Random Convex MDT_t1,38,ami,0.5878706859767663
Random Convex MDT_t1,38,ari,0.38819982444758233
Random Convex MDT_t1,39,chs,5.047778302303057
Random Convex MDT_t1,39,ami,0.5392848066546677
Random Convex MDT_t1,39,ari,0.4009826315562643
Random Convex MDT_t1,40,chs,5.136053318282863
Random Convex MDT_t1,40,ami,0.592543051864395
Random Convex MDT_t1,40,ari,0.4281562443508128
Random Convex MDT_t1,41,chs,5.130346685166788
Random Convex MDT_t1,41,ami,0.5731017439401346
Random Convex MDT_t1,41,ari,0.3884342607746863
Random Convex MDT_t1,42,chs,4.788347796150474
Random Convex MDT_t1,42,ami,0.5373783955359431
Random Convex MDT_t1,42,ari,0.356453829653321
Random Convex MDT_t1,43,chs,5.126725413711559
Random Convex MDT_t1,43,ami,0.5899465634302304
Random Convex MDT_t1,43,ari,0.4041218282174483
Random Convex MDT_t1,44,chs,5.171973770345915
Random Convex MDT_t1,44,ami,0.5783273187686312
Random Convex MDT_t1,44,ari,0.4001450969328121
Random Convex MDT_t1,45,chs,5.148974759279303
Random Convex MDT_t1,45,ami,0.5855987632886209
Random Convex MDT_t1,45,ari,0.4079020589872009
Random Convex MDT_t1,46,chs,5.050995975893995
Random Convex MDT_t1,46,ami,0.5048987655518549
Random Convex MDT_t1,46,ari,0.33423832240882234
Random Convex MDT_t1,47,chs,4.8992462778098895
Random Convex MDT_t1,47,ami,0.530422148776573
Random Convex MDT_t1,47,ari,0.37292475314947227
Random Convex MDT_t1,48,chs,5.1480393913784175
Random Convex MDT_t1,48,ami,0.5946657269541813
Random Convex MDT_t1,48,ari,0.43535255189151817
Random Convex MDT_t1,49,chs,5.176579300881349
Random Convex MDT_t1,49,ami,0.5813803332372155
Random Convex MDT_t1,49,ari,0.4008708429382187
Random Convex MDT_t1,50,chs,5.142454534822778
Random Convex MDT_t1,50,ami,0.5773723935435966
Random Convex MDT_t1,50,ari,0.367335791342346
Random Convex MDT_t1,51,chs,5.155705354654415
Random Convex MDT_t1,51,ami,0.5985133789420366
Random Convex MDT_t1,51,ari,0.4429363627338354
Random Convex MDT_t1,52,chs,5.12535252608857
Random Convex MDT_t1,52,ami,0.5870101760909924
Random Convex MDT_t1,52,ari,0.42184115271197575
Random Convex MDT_t1,53,chs,5.078949210373006
Random Convex MDT_t1,53,ami,0.5897651335750381
Random Convex MDT_t1,53,ari,0.4344708314000084
Random Convex MDT_t1,54,chs,5.153321867983672
Random Convex MDT_t1,54,ami,0.5792659493644947
Random Convex MDT_t1,54,ari,0.40799556571745305
Random Convex MDT_t1,55,chs,4.98721755982831
Random Convex MDT_t1,55,ami,0.521429382498432
Random Convex MDT_t1,55,ari,0.3767793407516271
Random Convex MDT_t1,56,chs,5.174040518341393
Random Convex MDT_t1,56,ami,0.5758851978470291
Random Convex MDT_t1,56,ari,0.39970555262909085
Random Convex MDT_t1,57,chs,4.995287918915788
Random Convex MDT_t1,57,ami,0.5168872413296588
Random Convex MDT_t1,57,ari,0.3712438347080035
Random Convex MDT_t1,58,chs,5.143748656822158
Random Convex MDT_t1,58,ami,0.5850019907883655
Random Convex MDT_t1,58,ari,0.3915728487721377
Random Convex MDT_t1,59,chs,4.96314679831323
Random Convex MDT_t1,59,ami,0.5278174153253777
Random Convex MDT_t1,59,ari,0.3800188315977346
Random Convex MDT_t1,60,chs,5.104719224998116
Random Convex MDT_t1,60,ami,0.5630473422436696
Random Convex MDT_t1,60,ari,0.38449704926728995
Random Convex MDT_t1,61,chs,5.070477630087869
Random Convex MDT_t1,61,ami,0.5415315252473833
Random Convex MDT_t1,61,ari,0.3806250954582691
Random Convex MDT_t1,62,chs,5.19191579375759
Random Convex MDT_t1,62,ami,0.5878706859767662
Random Convex MDT_t1,62,ari,0.38819982444758233
Random Convex MDT_t1,63,chs,5.16149459343271
Random Convex MDT_t1,63,ami,0.5843963696899243
Random Convex MDT_t1,63,ari,0.39594843462246776
Random Convex MDT_t1,64,chs,4.598667877537845
Random Convex MDT_t1,64,ami,0.4837928234426721
Random Convex MDT_t1,64,ari,0.29722664101710383
Random Convex MDT_t1,65,chs,5.021710221002672
Random Convex MDT_t1,65,ami,0.5774634983807653
Random Convex MDT_t1,65,ari,0.4521278941565601
Random Convex MDT_t1,66,chs,5.091194800867749
Random Convex MDT_t1,66,ami,0.5507850667080122
Random Convex MDT_t1,66,ari,0.4114581108215491
Random Convex MDT_t1,67,chs,4.888599159676886
Random Convex MDT_t1,67,ami,0.5577820726708695
Random Convex MDT_t1,67,ari,0.4233349201540659
Random Convex MDT_t1,68,chs,5.11806978699214
Random Convex MDT_t1,68,ami,0.5872717364950586
Random Convex MDT_t1,68,ari,0.41374408237064025
Random Convex MDT_t1,69,chs,5.16368985192732
Random Convex MDT_t1,69,ami,0.5809388832290742
Random Convex MDT_t1,69,ari,0.4113276847948579
Random Convex MDT_t1,70,chs,5.168694120738741
Random Convex MDT_t1,70,ami,0.5789571807459617
Random Convex MDT_t1,70,ari,0.4088323130768503
Random Convex MDT_t1,71,chs,5.177904822891908
Random Convex MDT_t1,71,ami,0.5839690833290168
Random Convex MDT_t1,71,ari,0.37960899832571726
Random Convex MDT_t1,72,chs,5.174040518341393
Random Convex MDT_t1,72,ami,0.5758851978470292
Random Convex MDT_t1,72,ari,0.39970555262909085
Random Convex MDT_t1,73,chs,5.046326132844413
Random Convex MDT_t1,73,ami,0.556517923273248
Random Convex MDT_t1,73,ari,0.3982304543763179
Random Convex MDT_t1,74,chs,5.0448977460601485
Random Convex MDT_t1,74,ami,0.5334659467887921
Random Convex MDT_t1,74,ari,0.3312218312033093
Random Convex MDT_t1,75,chs,5.089764110500908
Random Convex MDT_t1,75,ami,0.5644892663418299
Random Convex MDT_t1,75,ari,0.38760063765087277
Random Convex MDT_t1,76,chs,5.095707451974154
Random Convex MDT_t1,76,ami,0.6053071876738295
Random Convex MDT_t1,76,ari,0.4323625895427462
Random Convex MDT_t1,77,chs,5.172969417707569
Random Convex MDT_t1,77,ami,0.5938933836788418
Random Convex MDT_t1,77,ari,0.42418444730968125
Random Convex MDT_t1,78,chs,5.012713362453524
Random Convex MDT_t1,78,ami,0.5483740513197617
Random Convex MDT_t1,78,ari,0.3977089722583988
Random Convex MDT_t1,79,chs,5.114768261409611
Random Convex MDT_t1,79,ami,0.5852328857863223
Random Convex MDT_t1,79,ari,0.4198302501503139
Random Convex MDT_t1,80,chs,5.060810983179775
Random Convex MDT_t1,80,ami,0.5610660486692288
Random Convex MDT_t1,80,ari,0.33952185059321527
Random Convex MDT_t1,81,chs,5.14615033388915
