t,singular_entropy
1,248.89283231801625
2,175.93723358789333
3,131.68234517221202
4,102.35951996644926
5,81.87156469477581
6,67.04221551555952
7,56.00837473620557
8,47.599259954752874
9,41.05392806186216
10,35.86400264451766
11,31.6813861461467
12,28.26211485819064
13,25.43145909157205
14,23.06175460060135
15,21.058019321877463
16,19.348422028263176
17,17.877835401273643
18,16.60338931375771
19,15.491346937709759
20,14.514872435650762
21,13.652410519237794
22,12.88649310068068
23,12.202848816400918
24,11.589730504765704
25,11.03740166584689
26,10.537740341553542
27,10.083930719961545
28,9.67022097360949
29,9.291731595311983
30,8.944302581748358
31,8.62437075282172
32,8.328870630347744
33,8.055153868314175
34,7.800923390449382
35,7.564179261630929
36,7.343173976896545
37,7.136375351779106
38,6.9424355808165
39,6.760165326719822
40,6.588511932285972
41,6.42654102655608
42,6.273420937732021
43,6.1284094368000135
44,5.9908424243356455
45,5.860124243639146
46,5.735719360041576
47,5.61714519190517
48,5.503965915813158
49,5.395787098492549
50,5.292251032533045
