t,singular_entropy
1,275.9750647011864
2,217.20721899055786
3,171.87025680966977
4,134.80376203023445
5,103.81802700895736
6,78.3900572467196
7,58.36243181106516
8,43.222037087253916
9,32.10301221706728
10,24.062155449104708
11,18.275378918047792
12,14.100984020514954
13,11.068350743747047
14,8.842559802007738
15,7.188536991147263
16,5.942085135776894
17,4.9884868495376935
18,4.247333211135762
19,3.6619704842540353
20,3.1922199055557448
21,2.8093685713011793
22,2.492721151943663
23,2.2272204467551955
24,2.001799620046554
25,1.808236086580829
26,1.6403502694730134
27,1.493442289166243
28,1.3638934868262078
29,1.248882676471872
30,1.1461826609232304
31,1.0540132112627996
32,0.9709340020930161
33,0.8957659984239252
34,0.8275332360366697
35,0.7654193203415687
36,0.708734624284859
37,0.6568913214234925
38,0.6093842009515903
39,0.5657757831832139
40,0.5256846594296388
41,0.48877626936627666
42,0.45475553642927163
43,0.4233609315071352
44,0.39435964392803835
45,0.36754361820913245
46,0.34272627348201884
47,0.3197397657767214
48,0.2984326855880226
49,0.27866810733191816
50,0.26032192556077566
