t,singular_entropy
1,268.18613416681774
2,202.3807811669322
3,152.5220104393559
4,114.40488067015562
5,86.04857789390867
6,65.48558561316152
7,50.74978512449599
8,40.180038169938015
9,32.52580452825193
10,26.901556725755896
11,22.697620857280864
12,19.49802764658882
13,17.01846233907823
14,15.063043592680097
15,13.495264616554792
16,12.218720317993423
17,11.164351815692406
18,10.281967531571771
19,9.534561120314306
20,8.894464182719526
21,8.340710949626724
22,7.857210894656158
23,7.4314656185073975
24,7.053656547356895
25,6.715988233819551
26,6.412209936163417
27,6.137263011867275
28,5.887018131761294
29,5.658077343822672
30,5.447623470254257
31,5.253304416372661
32,5.073143488931495
33,4.905469277710898
34,4.748860386243315
35,4.602101531237513
36,4.464148417599442
37,4.334099440211703
38,4.211172735675147
39,4.094687456100301
40,3.9840483970534453
41,3.87873330709638
42,3.778282354217236
43,3.682289337180582
44,3.5903943163647174
45,3.50227740552101
46,3.4176535178767633
47,3.33626790065867
48,3.2578923240863604
49,3.1823218161635825
50,3.1093718546815365
