t,singular_entropy
1,281.9045044943746
2,226.1863274867934
3,179.68962957659815
4,138.8116881817461
5,103.67355729897872
6,75.58443867385851
7,54.68837959956161
8,39.847793799048915
9,29.530264648562696
10,22.388427325348765
11,17.41575237743704
12,13.911630612811877
13,11.402806323504755
14,9.572975426774365
15,8.210924532957588
16,7.1750174495495935
17,6.3695960158029505
18,5.72947637888564
19,5.209788592302564
20,4.779303314375727
21,4.4160278779663225
22,4.1042816655770205
23,3.8327397210367575
24,3.5931135964635805
25,3.379254293127843
26,3.1865367719350224
27,3.0114337166518195
28,2.8512175166356775
29,2.7037498434274836
30,2.5673315851655216
31,2.44059474203445
32,2.3224237592307193
33,2.211897703004438
34,2.108247332456804
35,2.010822916360894
36,1.9190698729293945
37,1.8325101573327043
38,1.7507279102236786
39,1.6733582927819541
40,1.600078725019591
41,1.5306019515465332
42,1.4646705080116007
43,1.4020522693594544
44,1.3425368398418371
45,1.285932602708301
46,1.2320642905004549
47,1.1807709689941432
48,1.1319043519975258
49,1.0853273825143608
50,1.0409130297323488
