t,singular_entropy
1,244.98221342828793
2,171.07587149672406
3,128.85015911814418
4,101.74971646313853
5,82.9582987142368
6,69.2738833562571
7,58.96116555089204
8,50.97391782237695
9,44.646576777793314
10,39.53840640553571
11,35.34807445089051
12,31.86360093786693
13,28.932018481114
14,26.440409730117736
15,24.303734119675603
16,22.4568091590811
17,20.848898078683124
18,19.43997200685293
19,18.198073240406075
20,17.097418771868863
21,16.117012018019246
22,15.239610319476341
23,14.450946031265614
24,13.739131378320627
25,13.094198490605004
26,12.507740240109232
27,11.972627175401414
28,11.48278254682568
29,11.033002125558735
30,10.618808880786775
31,10.236335010142204
32,9.882225598601657
33,9.55355949947248
34,9.247784017865138
35,8.962660722712968
36,8.696220281852213
37,8.446724651556048
38,8.212635290193898
39,7.992586329431602
40,7.785361843342535
41,7.589876519164034
42,7.405159163110015
43,7.230338578126919
44,7.064631433457383
45,6.90733181272669
46,6.757802181363817
47,6.615465558130039
48,6.479798711396308
49,6.350326230188794
50,6.226615344173713
