t,singular_entropy
1,288.2944679556015
2,239.9850830694736
3,202.7452390077775
4,171.6021282716925
5,142.08938221284583
6,111.65720571851114
7,81.68219823436215
8,56.116620864729946
9,37.13662355633715
10,24.198826110559498
11,15.731663063449695
12,10.277073780180608
13,6.775614232223375
14,4.522130318033558
15,3.0630097408214256
16,2.1101700707073068
17,1.481325128888545
18,1.0610599562683325
19,0.7760861388078584
20,0.5796618591409317
21,0.4418114415468775
22,0.34318440547798956
23,0.27119254501742457
24,0.21757309803973052
25,0.1768461373194931
26,0.1453340729857384
27,0.12053557382319559
28,0.10072372670732506
29,0.08468661330785526
30,0.07155871999013806
31,0.06071055081447563
32,0.051675728569755164
33,0.044102381691193945
34,0.0377203673540802
35,0.032318897528688675
36,0.027731056370357544
37,0.02382292619543708
38,0.020485828501302674
39,0.017630695688388875
40,0.015183919372289856
41,0.013084236569507371
42,0.011280356441097183
43,0.009729123778125992
44,0.008394077743214661
45,0.007244306314003043
46,0.0062535253697006965
47,0.005399330943306175
48,0.0046625867812906275
49,0.004026918948768071
50,0.003478296072091148
