t,singular_entropy
1,287.9152109869465
2,238.37938220831373
3,198.65230098705763
4,163.78188233293753
5,130.55201293819516
6,98.9282291013437
7,71.33556110023036
8,49.74159586336961
9,34.168216394298526
10,23.44926386461881
11,16.23197415271742
12,11.408682789860634
13,8.181990061556949
14,6.008914927032605
15,4.529046683261278
16,3.5059930888006114
17,2.785490668677218
18,2.2669826551505836
19,1.8848134114841877
20,1.5959475214565957
21,1.3720065746134305
22,1.1941245889461436
23,1.049629116228349
24,0.9298996015450588
25,0.8289831615577534
26,0.742697355891805
27,0.6680462741758246
28,0.6028385426341087
29,0.5454358058939757
30,0.4945858197805492
31,0.4493106592952529
32,0.4088310240494737
33,0.37251433894969554
34,0.33983866017879405
35,0.31036717253594964
36,0.2837298568173958
37,0.2596100677714431
38,0.23773451941096174
39,0.21786566912460265
40,0.19979581738932362
41,0.18334245525234125
42,0.16834453533133395
43,0.1546594385815771
44,0.14216047452685615
45,0.13073479749179298
46,0.1202816524418397
47,0.11071088583057206
48,0.10194167234612118
49,0.09390141961903145
50,0.08652482112944815
