t,singular_entropy
1,287.7920956717468
2,239.07273502991075
3,201.96295756852055
4,171.50955931854284
5,143.00479920689625
6,113.19531353343352
7,82.90789900599276
8,56.56191939095523
9,36.98186862675427
10,23.752296059736544
11,15.19151952802156
12,9.737701046831276
13,6.27445222292543
14,4.070609731886477
15,2.661840153391966
16,1.7560820940806818
17,1.1698526446327855
18,0.7876209005640825
19,0.5363677605323113
20,0.3697346171911602
21,0.25814291481039386
22,0.1826194093878867
23,0.1309236173554031
24,0.09510951535057814
25,0.06998392973216742
26,0.05212767910851617
27,0.03927128583057641
28,0.02989498028924875
29,0.02297116348623818
30,0.01779772665816053
31,0.013889566729857682
32,0.010907545457131348
33,0.008611655602555432
34,0.006829917413912305
35,0.00543755424733562
36,0.004342926352737254
37,0.0034779378070911456
38,0.0027914260947288234
39,0.0022445566576942966
40,0.001807577187998461
41,0.0014575029630713142
42,0.001176446275970356
43,0.0009503963274082539
44,0.0007683177551482277
45,0.0006214771931212462
46,0.0005029349426832893
47,0.00040715759288297904
48,0.00032972024164416066
49,0.0002670758101910303
50,0.00021637510375386868
