t,singular_entropy
1,275.4599462950904
2,215.82665008635814
3,169.55475100006296
4,131.82652116919738
5,100.76021160873748
6,75.8298380679615
7,56.60079982302039
8,42.26808766974724
9,31.809318978374957
10,24.245069243529368
11,18.773707873260772
12,14.792257779113273
13,11.866456795665234
14,9.689925199454922
15,8.048198022759097
16,6.791261559539807
17,5.813840187371568
18,5.041639626104852
19,4.42186090628636
20,3.916682347127714
21,3.4987765978701537
22,3.1482168138915623
23,2.85033131991797
24,2.5942077298302664
25,2.371643647282598
26,2.1764059739428894
27,2.0037046309637723
28,1.849816091814872
29,1.711812199341429
30,1.5873634169240165
31,1.4745950255681868
32,1.371981218285734
33,1.2782664945273032
34,1.1924068500090474
35,1.113525416791091
36,1.0408787242308968
37,0.9738308209411565
38,0.9118332565474956
39,0.8544094631369956
40,0.801142464348314
41,0.7516651199291
42,0.7056523165945614
43,0.6628146641299351
44,0.6228933643725025
45,0.5856560009508225
46,0.5508930572531525
47,0.5184150146238683
48,0.4880499162584252
49,0.4596413075807513
50,0.43304648314751504
