t,singular_entropy
1,288.34132374584823
2,239.67954568139137
3,201.47337988474084
4,168.7337877443545
5,137.45843220372197
6,106.26875018980581
7,77.24116766823911
8,53.45877962219288
9,36.00394070894245
10,24.020407814282944
11,16.058821901202123
12,10.838107825204183
13,7.422805034905924
14,5.179857228325462
15,3.694694817381107
16,2.6996975828650958
17,2.023078038939495
18,1.5546759970664659
19,1.2237195124740776
20,0.9845613714756024
21,0.8075893177209598
22,0.6734482138000993
23,0.569368369869575
24,0.48682928256424535
25,0.42006942506770933
26,0.36513240785935497
27,0.319253761729486
28,0.2804645817818697
29,0.24733368993433572
30,0.2187986273675046
31,0.19405388143301527
32,0.1724761939537528
33,0.15357404946011177
34,0.13695304932291646
35,0.12229181381542971
36,0.10932493147451582
37,0.09783068010688477
38,0.08762202055782273
39,0.07853986755893268
40,0.07044796977583068
41,0.06322894608978066
42,0.05678116708033564
43,0.05101626519689867
44,0.04585712065387952
45,0.04123621326684584
46,0.03709426014447342
47,0.033379079844436
48,0.03004463822716362
49,0.027050241734560672
50,0.024359851467757362
