t,singular_entropy
1,286.6205022735133
2,235.67745530557033
3,193.99694493670842
4,156.74153178757714
5,121.83311672873087
6,90.45183773749554
7,64.78844266104353
8,45.5792455649744
9,31.996337966086802
10,22.66296971347152
11,16.317464547184763
12,12.003905767273734
13,9.052870734940626
14,7.011491226750227
15,5.578019894517095
16,4.552635233736133
17,3.8032144090352165
18,3.2422885868474385
19,2.8117603859601012
20,2.4728432438946992
21,2.199462047352161
22,1.9739305134326084
23,1.7841199499863192
24,1.6216027873663665
25,1.4804326559906535
26,1.3563402018628128
27,1.2462007168792355
28,1.1476798303622744
29,1.0589961725681893
30,0.9787611615907637
31,0.9058698721209869
32,0.8394259232048602
33,0.7786891676631079
34,0.7230387785534044
35,0.6719468211337513
36,0.6249590341279736
37,0.581680620882563
38,0.5417655631650358
39,0.5049084437580725
40,0.47083808050601983
41,0.43931248743353696
42,0.41011482287140405
43,0.38305008308474514
44,0.3579423677843379
45,0.3346325910902918
46,0.31297654464330676
47,0.29284324305766624
48,0.2741134987644002
49,0.2566786855214628
50,0.24043965884599838
