t,singular_entropy
1,244.4824679595563
2,170.43756190572074
3,128.7764129332036
4,102.27466412574833
5,83.92811401126306
6,70.53100757900873
7,60.388705883098574
8,52.49132504506123
9,46.19995044634013
10,41.092025601383305
11,36.87851750675424
12,33.35578716047648
13,30.3765674839622
14,27.83186056696953
15,25.63932888590911
16,23.735651088001596
17,22.07136233950459
18,20.607289858230054
19,19.312036940635036
20,18.160171695145866
21,17.130899509328124
22,16.207074175726394
23,15.374450479533733
24,14.621111862446574
25,13.937026991267695
26,13.313702569541244
27,12.743908920459893
28,12.221461226456444
29,11.741043778571324
30,11.298067775333704
31,10.888555515393984
32,10.509045516124122
33,10.156514341437314
34,9.828311859353601
35,9.522107359035527
36,9.235844498527804
37,8.967703471359137
38,8.716069103624509
39,8.479503845886013
40,8.256724822967149
41,8.046584261947311
42,7.848052743759763
43,7.660204823852904
44,7.482206647801305
45,7.313305252705746
46,7.152819297911749
47,7.000131011500484
48,6.854679174116854
49,6.715952990530357
50,6.5834867230869225
