t,singular_entropy
1,278.2230445007309
2,219.30162754876739
3,170.72525402540109
4,129.6072521940611
5,96.14414988472869
6,70.58809602067828
7,52.04019195978205
8,38.945371617546684
9,29.778671947838312
10,23.336682462148953
11,18.75799193970192
12,15.452228463174007
13,13.021593529316501
14,11.198957464439374
15,9.804244722573602
16,8.715100649050303
17,7.847531441525104
18,7.1431979046808625
19,6.561065467196628
20,6.07188888734205
21,5.654542527330711
22,5.293557307718991
23,4.977451675357582
24,4.697589085695636
25,4.447387616293159
26,4.2217672392487255
27,4.016759023586707
28,3.82922575255288
29,3.656659967068505
30,3.4970363616274436
31,3.348702725613019
32,3.2102985006918634
33,3.0806933265741625
34,2.9589402013452486
35,2.844239434538789
36,2.735910649059488
37,2.6333708433231187
38,2.536117058814877
39,2.4437125789189524
40,2.3557758586894355
41,2.2719715839290817
42,2.192003403384066
43,2.115607985241078
44,2.0425501290631907
45,1.9726187243245865
46,1.905623392134278
47,1.8413916813952758
48,1.7797667172842857
49,1.7206052205636981
50,1.6637758323204053
