t,singular_entropy
1,271.702225085956
2,208.3465649477123
3,159.48147283399126
4,120.97365233774119
5,91.15714799472413
6,68.75163167972131
7,52.31388853081006
8,40.39748861229822
9,31.76840091937096
10,25.47882008049146
11,20.842317067420293
12,17.376048583504158
13,14.74425015671827
14,12.713695114474072
15,11.121588735767686
16,9.853351312365218
17,8.827511710136784
18,7.985489403395145
19,7.284671756095685
20,6.6936976122753835
21,6.189218695859227
22,5.753655345234501
23,5.373625929056794
24,5.038836509677354
25,4.74128781743663
26,4.474703080897454
27,4.234111071615991
28,4.0155392913683325
29,3.8157860692076926
30,3.632249725721466
31,3.4627993883491968
32,3.3056764786005197
33,3.159418982313488
34,3.022802785185891
35,2.8947958941953615
36,2.7745224647584585
37,2.661234345395834
38,2.5542884267796837
39,2.453128502976999
40,2.3572706631530433
41,2.266291462667737
42,2.1798182951245617
43,2.0975215170270656
44,2.0191079754055345
45,1.9443156641593597
46,1.8729092927940822
47,1.8046765960254991
48,1.7394252475583332
49,1.6769802685891408
50,1.6171818430002922
