t,singular_entropy
1,269.5117893216279
2,204.6586482510877
3,155.42247213024308
4,117.46264098693632
5,88.7229121682778
6,67.47133406568452
7,51.995806179365324
8,40.77568321717206
9,32.60517895936208
10,26.59461176487328
11,22.11260857993293
12,18.71888300650941
13,16.107766830260868
14,14.066349280268525
15,12.445166723535689
16,11.138204868192442
17,10.06938566583708
18,9.183441397896631
19,8.439722888802004
20,7.807966067320343
21,7.265370091391492
22,6.794559711382811
23,6.382148868149733
24,6.017717026905878
25,5.693071723103494
26,5.401711639502317
27,5.138431638859128
28,4.899029313641904
29,4.680084859147414
30,4.4787944206667625
31,4.2928428053268455
32,4.120305435024445
33,3.9595722103414563
34,3.8092879310144756
35,3.668305328254938
36,3.53564777878476
37,3.410479506735993
38,3.292081618211682
39,3.1798327104479056
40,3.073193092537612
41,2.9716918754319566
42,2.8749163552827626
43,2.7825032403911
44,2.6941313684014907
45,2.6095156344459176
46,2.52840190821228
47,2.4505627624607658
48,2.375793870365197
49,2.3039109564782745
50,2.234747207811725
