t,singular_entropy
1,245.56681957853158
2,172.2620887208736
3,129.91870621140365
4,102.52067452578014
5,83.46057125736763
6,69.57408551090789
7,59.116475850022795
8,51.026313850250766
9,44.62554525563127
10,39.46454416221701
11,35.23587881681922
12,31.72341089961692
13,28.771318628167084
14,26.264700800445297
15,24.117116690334587
16,22.26237897006345
17,20.64901748976092
18,19.23645949400013
19,17.992338098701875
20,16.890558665144624
21,15.90988489062176
22,15.032888260211358
23,14.245156164717507
24,13.534687241519684
25,12.891424303798015
26,12.306889789681332
27,11.773898563039113
28,11.286329739612778
29,10.83894401582403
30,10.427236400470367
31,10.047316722383673
32,9.69581209659282
33,9.369786871190033
34,9.066676579643374
35,8.78423318095162
36,8.520479447770073
37,8.273670806785653
38,8.042263279637101
39,7.824886440968849
40,7.6203205207719815
41,7.4274769443933755
42,7.245381735538043
43,7.073161312856081
44,6.910030295092055
45,6.755280997730514
46,6.60827435903163
47,6.468432077984318
48,6.335229783093548
49,6.208191080699309
50,6.0868823559858845
