t,singular_entropy
1,259.7994647973287
2,190.09825806660535
3,141.93091296373564
4,107.7124628344429
5,83.27818769442656
6,65.72245641040644
7,52.963756906471694
8,43.54640061909242
9,36.47301166050846
10,31.064341252065624
11,26.85603858680365
12,23.527514645208527
13,20.854479560377726
14,18.677653732444433
15,16.882155351796328
16,15.383839078069894
17,14.120150375011907
18,13.043926725460967
19,12.119138742639487
20,11.317922667358369
21,10.618483460616075
22,10.003592682782726
23,9.459498251455708
24,8.975123244501054
25,8.541470184691965
26,8.151173218078215
27,7.798157993604737
28,7.477380847121112
29,7.184626990856185
30,6.916353036178562
31,6.669563132756036
32,6.441710818557329
33,6.230620694502524
34,6.034425502572008
35,5.85151525904213
36,5.680495887188807
37,5.520155384378179
38,5.369436001961239
39,5.227411251937119
40,5.0932668100308796
41,4.966284580975135
42,4.845829343225728
43,4.731337507988388
44,4.622307619366328
45,4.518292294684437
46,4.418891361128065
47,4.323745990171373
48,4.232533667458851
49,4.144963864829577
50,4.060774304562346
