t,singular_entropy
1,245.21730344756713
2,171.88238388901755
3,129.7376082212849
4,102.53158468618294
5,83.60775645764394
6,69.80711072525155
7,59.3996453372181
8,51.335830790740104
9,44.94591870490697
10,39.785819650225626
11,35.551776592287816
12,32.03009440720068
13,29.066578757560244
14,26.547410121969644
15,24.386861228226667
16,22.519208240316956
17,20.89327430735043
18,19.46866411555298
19,18.21310965898936
20,17.100562350667854
21,16.109796933618178
22,15.223373283113276
23,14.42685306862196
24,13.708200975201551
25,13.057321642703613
26,12.465697809117591
27,11.926104880735837
28,11.43238387988381
29,10.979259444601697
30,10.562192920871105
31,10.177263020430924
32,9.821068297717476
33,9.490647018284022
34,9.183410978588892
35,8.897090583892203
36,8.629689060975409
37,8.379444121001843
38,8.144795727914586
39,7.924358893289544
40,7.716900627200429
41,7.521320339564586
42,7.336633117505497
43,7.161955408968604
44,6.996492726868759
45,6.839529055811234
46,6.690417698301267
47,6.5485733419732055
48,6.413465165786962
49,6.284610832975706
50,6.161571243059805
