t,singular_entropy
1,257.26112209594163
2,186.65299020202045
3,139.15324085448438
4,105.92654280108445
5,82.36092808818965
6,65.44769093902573
7,53.12480211983848
8,43.985754419950105
9,37.08003973670951
10,31.764694742066492
11,27.60116480652512
12,24.286434067210063
13,21.607908333324577
14,19.413984627877344
15,17.594771098552112
16,16.069336891722017
17,14.77717513015859
18,13.67240616099433
19,12.719783117643052
20,11.891898324471764
21,11.167200949504249
22,10.52857051928634
23,9.962276697705095
24,9.457211175131278
25,9.004313787141541
26,8.596139017406877
27,8.226525173529742
28,7.89033949535682
29,7.583280009581025
30,7.3017202099416085
31,7.042586355605249
32,6.803259828267518
33,6.58149889685731
34,6.3753756278824065
35,6.183224700293958
36,6.003601640668228
37,5.835248560504614
38,5.677065904075356
39,5.528089039294897
40,5.387468771955579
41,5.254455054595166
42,5.128383309266731
43,5.008662898927479
44,4.894767372744907
45,4.786226182090163
46,4.682617620685209
47,4.583562787576675
48,4.48872040783119
49,4.39778237500579
50,4.310469903025594
