t,singular_entropy
1,284.9260499480313
2,232.0360958680049
3,188.00349346698496
4,148.53299769661493
5,112.85525581552272
6,82.6679858512232
7,59.27682654755212
8,42.32543412059024
9,30.48831950924194
10,22.344811591682888
11,16.750199147322185
12,12.881241910187146
13,10.174113391041907
14,8.25042725608117
15,6.858018876383189
16,5.828915861945052
17,5.0508890964418365
18,4.448569343107641
19,3.9710053970099803
20,3.58347998367722
21,3.2621198451645212
22,2.9903362367312605
23,2.756465502430175
24,2.5521982306777167
25,2.371528181231391
26,2.210045052214411
27,2.064455640638489
28,1.9322574052492423
29,1.8115142370690442
30,1.7007011546841488
31,1.5985957616628406
32,1.504201639947935
33,1.4166937107300803
34,1.3353788234528943
35,1.2596669894752979
36,1.18905012302451
37,1.1230861270442223
38,1.0613868224967975
39,1.003608670409158
40,0.9494455452688557
41,0.8986230320752557
42,0.8508938680387514
43,0.8060342541482775
44,0.763840835459052
45,0.724128201392026
46,0.6867267949961295
47,0.6514811474032101
48,0.6182483736390831
49,0.5868968806506335
50,0.5573052493425911
