t,singular_entropy
1,253.06430622958203
2,181.49122013915874
3,135.76614836879412
4,104.70276463014294
5,82.8840505458121
6,67.16623785074609
7,55.57631624765893
8,46.83634693553
9,40.106186920034396
10,34.823983726692774
11,30.60677890089659
12,27.188237195616875
13,24.379372447769317
14,22.04346977190181
15,20.079822814593406
16,18.41300279373547
17,16.985648123450495
18,15.753530798219062
19,14.682120432748574
20,13.744150684060497
21,12.917868163423002
22,12.185753800881074
23,11.533576464765321
24,10.949683731988468
25,10.424464281866129
26,9.949936091023076
27,9.519427936279385
28,9.127330862209883
29,8.76890263909774
30,8.440112729086119
31,8.137518485880163
32,7.858165630138721
33,7.5995077340490775
34,7.359340695633423
35,7.135749111302521
36,6.927062151629327
37,6.731817072205551
38,6.548728893035544
39,6.376665088162189
40,6.214624365373026
41,6.061718800989557
42,5.917158739546854
43,5.780239982058589
44,5.650332876618348
45,5.526872996666838
46,5.4093531494299985
47,5.297316502920566
48,5.190350656893487
49,5.088082513107465
50,4.990173824612572
