t,singular_entropy
1,262.4755159459476
2,193.5851528236334
3,144.4203945687334
4,108.69646508453417
5,82.96287472612391
6,64.52436844142719
7,51.260198116060714
8,41.60836532262923
9,34.47342428972702
10,29.104659070383967
11,24.990750109343395
12,21.78200909208667
13,19.23689754179085
14,17.186371262361398
15,15.510368532655365
16,14.122304963239035
17,12.958783095857182
18,11.972694212091298
19,11.128538034515751
20,10.399205321899608
21,9.763735982090967
22,9.205735637661206
23,8.71224231236153
24,8.272904804677388
25,7.879379659305407
26,7.524883371826558
27,7.203856165915039
28,6.91170689555832
29,6.6446175888262955
30,6.399392301722921
31,6.173339220866453
32,5.9641779506958335
33,5.76996604686915
34,5.589040381276413
35,5.41997002710269
36,5.261518158448517
37,5.112611053457894
38,4.972312732096626
39,4.839804091387187
40,4.714365651629058
41,4.5953632180883535
42,4.482235909109204
43,4.374486114703652
44,4.2716710375753495
45,4.173395537257402
46,4.079306052087345
47,3.989085416471663
48,3.902448424851619
49,3.8191380209046115
50,3.7389220122782225
