t,singular_entropy
1,285.2084581017739
2,232.32518880565107
3,191.4974127929786
4,158.42880282624418
5,129.23776432161208
6,101.40138375003659
7,74.99182712642076
8,52.34607473394384
9,35.18627987912837
10,23.258368882645538
11,15.317299882305008
12,10.114186333445822
13,6.713417465722835
14,4.483016417095398
15,3.0118158738400087
16,2.035181759924694
17,1.3827278813961783
18,0.9442050577640182
19,0.6477996553984814
20,0.4464017723993524
21,0.30889200855299864
22,0.21457833765273643
23,0.1496177094474237
24,0.10469652103223376
25,0.07351577744666968
26,0.05179473161725814
27,0.03661119059287011
28,0.025962043332601433
29,0.018468834355713372
30,0.013179481023553033
31,0.009434096093342273
32,0.006773786126333572
33,0.004878405143160286
34,0.0035239072519896784
35,0.0025530219558591804
36,0.0018550216545609617
37,0.0013517171482154981
38,0.0009877340109923898
39,0.0007237410901273799
40,0.0005317211533948606
41,0.0003916584176913889
42,0.0002892119678304583
43,0.0002140770972696799
44,0.00015882797644175292
45,0.00011809801040010715
46,8.799774874596225e-05
47,6.570035277935065e-05
48,4.914556569418283e-05
49,3.6827718242858795e-05
50,2.7643488688233048e-05
