t,singular_entropy
1,246.86418144943718
2,173.9346853161026
3,130.88699034029509
4,102.73006457323832
5,83.1129480711957
6,68.86895928804577
7,58.19922472027509
8,49.994637858663346
9,43.54292070133863
10,38.37147486555395
11,34.157717643484624
12,30.675567048813445
13,27.76267821904687
14,25.299877448599446
15,23.197940520458417
16,21.38888809129196
17,19.820121475361933
18,18.450384444368748
19,17.24692486351578
20,16.183461562270598
21,15.238702613544799
22,14.395248426503873
23,13.638768162352747
24,12.95737345993596
25,12.341136727465898
26,11.781716795552786
27,11.272065283430377
28,10.806194320616779
29,10.3789913792073
30,9.986070610064084
31,9.623652699778109
32,9.288467180908007
33,8.97767254271872
34,8.688790545385078
35,8.419651936025074
36,8.16835136942671
37,7.933209799423107
38,7.712742964235851
39,7.505634866746592
40,7.310715367706653
41,7.126941180562898
42,6.953379691507675
43,6.789195135581443
44,6.633636745272408
45,6.486028556737544
46,6.34576061410731
47,6.2122813571132385
48,6.085091013657565
49,5.9637358486189465
50,5.847803144486552
