t,singular_entropy
1,256.3127037648769
2,185.53394738612243
3,138.5294920051532
4,105.93587801258019
5,82.89919912333835
6,66.34877565850294
7,54.24045132301872
8,45.2063620386373
9,38.33208391525531
10,33.00206400540461
11,28.79675661644327
12,25.425678192473264
13,22.684215013745096
14,20.425691157457393
15,18.543148528071796
16,16.957313195518548
17,15.608530778134577
18,14.451276546777363
19,13.450358175484498
20,12.57824764479405
21,11.81317792143038
22,11.137765568696222
23,10.5380004599603
24,10.002495421007744
25,9.52192242455857
26,9.088584385732396
27,8.696086697610118
28,8.339082941966156
29,8.013076329728335
30,7.714263412209154
31,7.439410139306582
32,7.185752875852379
33,6.950918824564486
34,6.732861648996477
35,6.52980908359598
36,6.3402200586006705
37,6.162749423978322
38,5.9962187779354
39,5.839592226800453
40,5.691956149751653
41,5.552502232453955
42,5.420513181847234
43,5.29535065019896
44,5.176444987652907
45,5.063286514543186
46,4.9554180619897945
47,4.8524285750108485
48,4.75394760907432
49,4.659640580587995
50,4.5692046557752555
